iter	Passed	Remaining
0	11	11765
1	18	9248
2	27	9194
3	34	8589
4	42	8412
5	49	8176
6	57	8148
7	64	7978
8	71	7924
9	79	7832
10	86	7804
11	97	8031
12	106	8105
13	113	8005
14	121	7989
15	128	7913
16	136	7881
17	142	7794
18	150	7758
19	157	7713
20	163	7640
21	170	7592
22	177	7543
23	185	7543
24	192	7510
25	201	7558
26	208	7525
27	217	7546
28	224	7509
29	231	7486
30	238	7446
31	246	7444
32	254	7445
33	262	7444
34	269	7418
35	277	7420
36	284	7400
37	290	7362
38	297	7331
39	304	7307
40	310	7273
41	318	7258
42	326	7275
43	333	7253
44	341	7246
45	348	7221
46	355	7210
47	362	7194
48	369	7166
49	375	7137
50	382	7116
51	392	7149
52	399	7143
53	407	7132
54	413	7110
55	423	7132
56	430	7119
57	437	7104
58	444	7087
59	454	7125
60	461	7108
61	470	7122
62	477	7107
63	486	7112
64	493	7094
65	500	7079
66	507	7062
67	516	7078
68	523	7060
69	531	7056
70	537	7037
71	544	7020
72	551	7003
73	558	6986
74	565	6971
75	572	6959
76	580	6963
77	588	6953
78	595	6944
79	602	6930
80	609	6920
81	617	6909
82	623	6892
83	630	6878
84	638	6878
85	646	6872
86	653	6862
87	660	6847
88	667	6833
89	676	6836
90	683	6823
91	690	6814
92	697	6801
93	705	6804
94	712	6790
95	719	6778
96	727	6767
97	733	6755
98	742	6760
99	750	6754
100	757	6745
101	764	6731
102	772	6723
103	779	6711
104	786	6700
105	793	6689
106	800	6684
107	807	6671
108	815	6666
109	822	6654
110	831	6655
111	841	6668
112	848	6660
113	856	6657
114	865	6660
115	874	6661
116	881	6656
117	891	6660
118	898	6653
119	907	6658
120	914	6646
121	922	6635
122	930	6637
123	937	6623
124	944	6608
125	951	6596
126	960	6605
127	967	6591
128	975	6587
129	982	6577
130	990	6569
131	997	6559
132	1005	6553
133	1012	6542
134	1021	6543
135	1028	6532
136	1036	6528
137	1043	6516
138	1050	6506
139	1057	6495
140	1063	6480
141	1070	6470
142	1078	6460
143	1086	6461
144	1093	6450
145	1118	6539
146	1125	6528
147	1133	6526
148	1140	6512
149	1149	6515
150	1158	6515
151	1165	6504
152	1172	6492
153	1180	6485
154	1187	6472
155	1195	6466
156	1201	6452
157	1209	6444
158	1216	6434
159	1224	6430
160	1231	6419
161	1238	6408
162	1246	6401
163	1253	6390
164	1260	6377
165	1267	6368
166	1275	6364
167	1282	6352
168	1290	6346
169	1297	6337
170	1307	6337
171	1314	6326
172	1321	6318
173	1328	6308
174	1336	6299
175	1342	6287
176	1351	6282
177	1358	6271
178	1364	6260
179	1373	6256
